type,osm_id,name,amenity,latitude,longitude
node,255337652,Descent of the Holy Ghost Church,place_of_worship,42.312164,-82.993166
node,353916243,Bethany School,school,42.4058705,-82.9488062
node,353922537,Couzens School,school,42.3440474,-83.0675475
node,353928629,River Rouge STEM Academy,school,42.2744829,-83.1310343
node,353928712,Duvall School,school,42.3003156,-83.250484
node,353928739,Dwyer School,school,42.3943872,-83.0744907
node,353931297,Finlay School,school,42.268094,-83.1835365
node,353939226,Highview School,school,42.3371422,-83.285413
node,353939299,Holbrook School,school,42.3872561,-83.0540406
node,353942172,Emmanuel Lutheran School,school,42.3062904,-83.2526895
node,353945557,Lafayette School,school,42.2572608,-83.1777028
node,353947753,Lindbergh School,school,42.3150886,-83.2698702
node,353949227,Madison School,school,42.273927,-83.265762
node,353960392,Palmer Institute,school,42.3617503,-83.0660396
node,353960504,Pasteur School,school,42.4377701,-83.1433896
node,353960906,Peace School,school,42.4000373,-82.9451947
node,353964736,Saint Cyril of Jerusalem School,school,42.261705,-83.2335385
node,353965088,Saint Barbaras School,school,42.3260383,-83.1753314
node,353965608,Saint Clement School,school,42.3261488,-83.1846482
node,353966257,Saint Henry School,school,42.261983,-83.1699247
node,353966483,Saint Ignatius School,school,42.401704,-82.9829746
node,353967186,Saint Anselm School,school,42.3297596,-83.2632623
node,353969149,Saint Mary School,school,42.2750222,-83.196706
node,353970182,Saint Paul Monastery,place_of_worship,42.384481,-83.2677073
node,353970554,Saint Philomena School,school,42.4041193,-82.918238
node,353971073,Saint Stephens School,school,42.2694828,-83.1913146
node,353971359,Salem School,school,42.375871,-83.0079754
node,353971925,Santa Maria School,school,42.3948072,-83.0732354
node,353979817,Thorne School,school,42.2747603,-83.2838182
node,353983646,Ann Visger Elementary School,school,42.2644788,-83.136339
node,353984311,William Ford Senior Activities Center,school,42.2580939,-83.2777068
node,353986361,Wilson School,school,42.3084361,-83.1238246
node,353987329,Yost School,school,42.4077481,-83.2836947
node,354012402,City of Hope Church,place_of_worship,42.4170208,-83.1474824
node,354012438,Clara B Ford School,school,42.3425639,-83.2430706
node,354013382,New Genesis Missionary Baptist Church,place_of_worship,42.4079018,-83.2832324
node,354013439,New Greater Faith Missionary Baptist Church,place_of_worship,42.41,-83.1336
node,354013556,Muhammad University of Islam,school,42.4113,-83.1121
node,354013571,Mount Zion New Covenant Baptist Church,place_of_worship,42.3741929,-83.0801315
node,354013591,New Saint Paul Tabernacle Church of God in Christ,place_of_worship,42.4022663,-83.2175537
node,354013597,Muhammad University of Islam,school,42.3991757,-83.1591503
node,354013606,New Mount Vernon Baptist Church,place_of_worship,42.4485765,-83.163533
node,354013729,Hill Memorial Church,place_of_worship,42.328,-83.186
node,354013797,Holy City of New Jerusalem Church,place_of_worship,42.387,-82.9498
node,354013912,Detroit School of Industrial Arts,school,42.4245,-82.9459
node,354013940,Chandler Park Academy-Philip,school,42.3733,-82.9419
node,354014118,Cross of Glory Evangelical Lutheran Church,place_of_worship,42.443,-82.9463
node,354014308,Dar-Al-Arqam School,school,42.3437,-83.2145
node,354014314,Cultural Center Early Learning Center,school,42.3446083,-83.059651
node,354014389,Muslim American Youth Academy,school,42.330594,-83.2290214
node,354014451,Church of Christ Holford,place_of_worship,42.2684,-83.1441
node,354014476,Chandler Park Academy-Greenfield,school,42.4337,-83.1989
node,354015017,Union Second Baptist Church,place_of_worship,42.2671,-83.1476
node,354015342,Victors' Center,school,42.3766,-82.9403
node,354019651,Waterfall Missionary Baptist Church,place_of_worship,42.2658,-83.1555
node,354019862,Word New Life Church,place_of_worship,42.4464,-83.1585
node,354019869,Word of Truth Church of God in Christ,place_of_worship,42.4491,-83.0307
node,354019880,Y Gladys Barsamian Preparatory Center,school,42.3723,-83.077
node,354020131,School-to-Work Academy,school,42.3440241,-83.1663563
node,354020254,Saint Thomas Aquinas Parish Center,place_of_worship,42.3301,-83.2352
node,354021008,Shiyloh Baptist Church,place_of_worship,42.3713,-83.2634541
node,354021096,Saint Timothy Lutheran School,school,42.4332,-83.239
node,354021136,Greater New Light Missionary Baptist Church,place_of_worship,42.3692366,-83.1061074
node,354021168,Greater Marion Chapel Missionary Baptist Church,place_of_worship,42.3904104,-83.1934487
node,354021331,Tawheed Center School,school,42.3432,-83.2225
node,354021338,Timbuktu Academy of Science and Technology,school,42.417,-83.0222
node,354021529,EBER Memorial Baptist Church,place_of_worship,42.3865,-83.2271
node,354021575,Eastside Nursery School,school,42.447481,-82.9702594
node,354021645,E T Clark Academy,school,42.4102,-83.1662
node,354021726,Far West Early Learning Center,school,42.385004,-83.270659
node,354021729,Exousia United Methodist Church,place_of_worship,42.4345,-82.9934
node,354021737,Far West Alternative Middle School,school,42.400873,-83.2613334
node,354021747,Family Place Head Start,school,42.3802,-83.0792
node,354021913,Saint Hilda's Episcopal Church,place_of_worship,42.2717,-83.1292
node,354021923,First Philippian Grace Church,place_of_worship,42.3636,-83.2826
node,354022316,Garden of Faith Missionary Baptist Church,place_of_worship,42.3907,-83.142
node,354022361,Giving Tree Montessori School,school,42.4036392,-82.9179465
node,354022443,God's Way Academy,school,42.3695,-83.069
node,354022464,Grace Christian Methodist Episcopal Church,place_of_worship,42.4177,-83.1099
node,354022477,Gordy Memorial Church of God in Christ,place_of_worship,42.2668,-83.1466
node,354022505,Gospel True Light Church of God in Christ,place_of_worship,42.3940088,-83.1034938
node,354022633,Blanche Kelso Bruce Academy,school,42.3927,-82.9829
node,354022641,Blackwell Christian Academy,school,42.4159,-83.2139
node,354022645,Here's Hope Christian School,school,42.4299,-83.2382
node,354022801,Haven of Rest Missionary Baptist Church,place_of_worship,42.4153,-82.9999
node,354022967,Guardian Lutheran School,school,42.3123,-83.2776
node,354022995,,place_of_worship,42.4427872,-83.0238779
node,354022999,Academy for Business and Technology Elementary School,school,42.3262425,-83.1749918
node,354023006,Horizon Alternative High School,school,42.4010979,-83.0567594
node,354023038,Academy of Excellence,school,42.4197,-83.0038
node,354023053,Academy of Michigan,school,42.4457,-83.2005
node,354023151,Benjamin E Mays Male Academy,school,42.3685,-83.0012
node,354023217,Faith Deliverance Baptist Church,place_of_worship,42.3693647,-83.128044
node,354023224,First Baptist Church of Ecorse,place_of_worship,42.2601,-83.151
node,354023277,Art 'n Dot Nursery and Kindergarten Place,school,42.4111,-83.17
node,354023473,Call Together Day Care Center,school,42.3555192,-83.0625201
node,354023491,Capuchin Mission Office,place_of_worship,42.3522587,-83.0150442
node,354023660,Carl T Rowan Community Elementary School,school,42.4174,-83.0222
node,354025347,Professional Development Academy,school,42.4191,-83.19
node,354025554,Saint Henry's Church,place_of_worship,42.2613,-83.1698
node,354025799,Rouge Free Will Baptist Church,place_of_worship,42.2749,-83.1283
node,354026778,Morang Street Mission,place_of_worship,42.4303,-82.9586
node,354026923,More Light Baptist Church,place_of_worship,42.2564,-83.1541
node,354026943,Morris Child Development Center,school,42.4229961,-83.1603041
node,354027618,Montessori Children's Center,school,42.2698,-83.1925
node,354027649,Michigan Institute for Construction Trades,school,42.3322808,-83.049247
node,354027856,Northwest Detroit Cooperative School,school,42.4139,-83.2482
node,354027872,People's Baptist Christian School,school,42.3550197,-83.0272073
node,354027896,Northern Annex,school,42.3819,-83.0816
node,354028151,Redford Presbyterian Church,place_of_worship,42.4145,-83.2592
node,354028155,Regional Mission Center,place_of_worship,42.4267,-83.0413
node,354028164,Our Lady of Guadalupe Middle School,school,42.3273,-83.1348
node,354028194,Order of the Cannons Regular of the Holy Cross,place_of_worship,42.4277453,-82.9817624
node,354028541,Jessie C Kennedy Institute,school,42.3311,-83.048
node,354028552,Joan Ann Bullock Academy,school,42.3658,-83.1929
node,354028831,Lycee' Internationale,school,42.422,-83.1746
node,354029007,Iris Becker Elementary School,school,42.3405,-83.1661
node,354029055,In Good Faith Missionary Baptist Church,place_of_worship,42.4054,-83.1505
node,354029058,M L Winans Academy of Performing Arts,school,42.4267,-83.0253
node,354029229,Marvin L Winans Academy of Performing Arts,school,42.4266,-83.0263
node,354029243,Mayflower Nursery Play Center,school,42.4241,-83.1442
node,367812921,Mercy Family Care - Chandler,clinic,42.391623,-82.968616
node,367813144,Grace Dialysis Center,doctors,42.4241,-83.1795
node,367813162,DMC Health Care Center - Detroit,doctors,42.4427785,-83.2634117
node,367813173,Bon Secours Internal Medicine,doctors,42.3797,-82.9423
node,367813180,Oakwood Healthcare Center - Dearborn Heights,doctors,42.3553633,-83.2840348
node,367813188,Northeast Physician Associates Health Center,doctors,42.4421999,-83.0202467
node,367813678,Henry Ford Village Medical Center,doctors,42.3269,-83.1931
node,461962122,Cherry Hill Presbyterian Church,place_of_worship,42.3129274,-83.2736378
