GEOID,labor_force,unemployed,unemployment_rate
26163500100,1882,212,11.26
26163500200,1307,418,31.98
26163500300,656,45,6.86
26163500400,416,56,13.46
26163500500,669,88,13.15
26163500600,953,95,9.97
26163500700,1949,80,4.1
26163500800,870,165,18.97
26163500900,1439,215,14.94
26163501000,1061,230,21.68
26163501100,1255,321,25.58
26163501200,456,144,31.58
26163501300,1856,338,18.21
26163501400,1659,260,15.67
26163501500,2157,311,14.42
26163501600,586,88,15.02
26163501700,633,163,25.75
26163501800,2478,140,5.65
26163501900,1020,200,19.61
26163502000,989,133,13.45
26163502600,1896,219,11.55
26163502700,874,228,26.09
26163503100,1188,233,19.61
26163503200,1454,370,25.45
26163503300,1277,197,15.43
26163503400,516,78,15.12
26163503500,974,135,13.86
26163503600,700,267,38.14
26163503900,756,202,26.72
26163504000,379,42,11.08
26163504100,673,88,13.08
26163504200,726,70,9.64
26163504300,759,147,19.37
26163504400,569,106,18.63
26163505100,1127,0,0.0
26163505200,1600,399,24.94
26163505400,847,145,17.12
26163505600,1938,187,9.65
26163505700,933,137,14.68
26163505800,1381,362,26.21
26163506100,752,144,19.15
26163506200,1081,0,0.0
26163506300,575,130,22.61
26163506400,252,31,12.3
26163506500,792,173,21.84
26163506600,1192,85,7.13
26163506700,390,129,33.08
26163506800,1767,305,17.26
26163506900,1352,256,18.93
26163507000,960,250,26.04
26163507100,570,0,0.0
26163507200,347,59,17.0
26163507300,1377,274,19.9
26163507400,891,154,17.28
26163507500,819,138,16.85
26163508000,431,15,3.48
26163508100,448,155,34.6
26163509000,741,81,10.93
26163509100,1477,119,8.06
26163510600,1738,128,7.36
26163511200,710,238,33.52
26163511300,1001,174,17.38
26163511400,1180,133,11.27
26163511900,505,101,20.0
26163512800,598,76,12.71
26163513200,634,38,5.99
26163513300,1003,124,12.36
26163513700,1084,38,3.51
26163513800,936,122,13.03
26163513900,608,89,14.64
26163514100,729,86,11.8
26163514200,782,210,26.85
26163514300,752,198,26.33
26163514500,197,45,22.84
26163515200,349,110,31.52
26163515300,1432,72,5.03
26163515400,856,66,7.71
26163515700,1099,67,6.1
26163516000,922,37,4.01
26163516400,515,0,0.0
26163516500,1906,89,4.67
26163516600,927,108,11.65
26163516700,1081,68,6.29
26163516800,216,40,18.52
26163516900,660,19,2.88
26163517000,2143,96,4.48
26163517100,547,25,4.57
26163517200,758,0,0.0
26163517300,1445,283,19.58
26163517500,1122,88,7.84
26163518000,1454,19,1.31
26163518900,540,109,20.19
26163519000,421,86,20.43
26163519100,450,83,18.44
26163519200,468,14,2.99
26163519300,669,144,21.52
26163520200,1914,140,7.31
26163520300,1537,104,6.77
26163520400,1162,127,10.93
26163520700,2246,62,2.76
26163520800,1039,58,5.58
26163521100,773,39,5.05
26163521400,1028,63,6.13
26163521500,580,48,8.28
26163521800,465,54,11.61
26163521900,1588,152,9.57
26163522000,810,173,21.36
26163522300,250,47,18.8
26163522400,471,97,20.59
26163522500,517,126,24.37
26163522800,653,49,7.5
26163523100,425,6,1.41
26163523200,1289,225,17.46
26163523300,1145,139,12.14
26163523400,910,133,14.62
26163523800,1748,185,10.58
26163524001,1232,186,15.1
26163524101,1533,220,14.35
26163524200,1693,104,6.14
26163524300,943,114,12.09
26163524500,25,0,0.0
26163524600,557,28,5.03
26163524700,1380,103,7.46
26163524800,1301,89,6.84
26163525400,736,99,13.45
26163525700,2030,336,16.55
26163525800,557,67,12.03
26163525900,906,80,8.83
26163526000,1081,34,3.15
26163526100,1030,77,7.48
26163526200,913,92,10.08
26163526300,1068,49,4.59
26163526400,753,96,12.75
26163526500,640,60,9.38
26163527900,621,31,4.99
26163530100,1417,262,18.49
26163530200,1494,237,15.86
26163530300,452,123,27.21
26163530400,448,210,46.88
26163530500,807,198,24.54
26163530800,362,46,12.71
26163530900,411,1,0.24
26163531100,532,95,17.86
26163531200,1335,36,2.7
26163531300,486,318,65.43
26163531400,538,49,9.11
26163531501,647,43,6.65
26163531502,321,112,34.89
26163531600,536,77,14.37
26163531700,607,69,11.37
26163531800,700,192,27.43
26163531900,429,121,28.21
26163532100,1046,103,9.85
26163532400,415,40,9.64
26163532600,1073,134,12.49
26163532700,198,14,7.07
26163533000,628,107,17.04
26163533100,632,161,25.47
26163533200,433,45,10.39
26163533300,404,30,7.43
26163533400,827,248,29.99
26163533600,523,151,28.87
26163533800,705,125,17.73
26163533900,1836,20,1.09
26163534100,618,99,16.02
26163534200,954,228,23.9
26163534300,437,26,5.95
26163534400,818,241,29.46
26163534700,1339,184,13.74
26163534800,829,113,13.63
26163535000,804,205,25.5
26163535100,536,57,10.63
26163535200,757,172,22.72
26163535300,1273,213,16.73
26163535600,1244,85,6.83
26163535700,618,84,13.59
26163535800,1484,217,14.62
26163536100,1073,260,24.23
26163536200,961,154,16.02
26163536300,1145,117,10.22
26163536400,908,239,26.32
26163536500,926,198,21.38
26163536600,1456,170,11.68
26163536700,512,62,12.11
26163536800,639,70,10.95
26163536900,1029,331,32.17
26163537000,1124,83,7.38
26163537100,550,210,38.18
26163537200,155,23,14.84
26163537300,926,222,23.97
26163537500,1254,239,19.06
26163537600,812,153,18.84
26163537700,596,102,17.11
26163537800,373,100,26.81
26163538100,1213,121,9.98
26163538200,990,96,9.7
26163538300,834,121,14.51
26163538400,1829,175,9.57
26163538500,2707,222,8.2
26163538600,2580,247,9.57
26163538700,1330,178,13.38
26163538800,901,199,22.09
26163538900,1726,170,9.85
26163539000,1168,303,25.94
26163539100,621,24,3.86
26163539200,2117,283,13.37
26163539300,2066,314,15.2
26163539400,1728,81,4.69
26163539500,1391,207,14.88
26163539600,1799,148,8.23
26163539700,751,86,11.45
26163540100,1526,115,7.54
26163540200,1183,238,20.12
26163540300,1312,138,10.52
26163540400,839,116,13.83
26163540500,1447,475,32.83
26163540600,1365,239,17.51
26163540700,1463,227,15.52
26163540800,973,98,10.07
26163540900,1409,69,4.9
26163541000,1662,202,12.15
26163541100,835,11,1.32
26163541200,746,223,29.89
26163541300,1178,177,15.03
26163541400,950,247,26.0
26163541500,1088,158,14.52
26163541700,1008,236,23.41
26163541800,1344,232,17.26
26163542100,1884,242,12.85
26163542200,1604,153,9.54
26163542300,1254,588,46.89
26163542400,1029,80,7.77
26163542500,1343,217,16.16
26163542600,1305,262,20.08
26163542900,1747,104,5.95
26163543000,955,69,7.23
26163543100,1177,249,21.16
26163543200,1099,183,16.65
26163543300,1101,164,14.9
26163543400,1924,262,13.62
26163543500,364,38,10.44
26163543700,669,128,19.13
26163543900,316,71,22.47
26163544000,974,184,18.89
26163544100,1312,245,18.67
26163544200,460,141,30.65
26163544300,1155,122,10.56
26163544800,798,172,21.55
26163545100,507,155,30.57
26163545200,1013,248,24.48
26163545500,1301,176,13.53
26163545600,1501,415,27.65
26163545700,1141,93,8.15
26163545800,2154,294,13.65
26163545900,1616,170,10.52
26163546000,1166,184,15.78
26163546100,1430,82,5.73
26163546201,1872,153,8.17
26163546301,697,43,6.17
26163546600,683,39,5.71
26163546700,971,85,8.75
26163547000,1294,137,10.59
26163547100,1660,71,4.28
26163547200,1671,274,16.4
26163550100,2216,93,4.2
26163550200,2842,63,2.22
26163550300,1487,62,4.17
26163550400,864,44,5.09
26163550500,1905,74,3.88
26163550600,1257,31,2.47
26163550700,3185,35,1.1
26163550800,753,35,4.65
26163550900,1197,43,3.59
26163551100,2686,370,13.78
26163551200,2264,24,1.06
26163551300,2404,113,4.7
26163551400,2253,155,6.88
26163551500,1176,151,12.84
26163551600,1512,101,6.68
26163551700,1794,50,2.79
26163551800,1845,57,3.09
26163552000,1446,234,16.18
26163552100,1636,209,12.78
26163552200,1413,113,8.0
26163552300,1803,234,12.98
26163552400,1049,143,13.63
26163552801,1352,203,15.01
26163553000,370,38,10.27
26163553100,521,19,3.65
26163553200,338,69,20.41
26163553601,1111,243,21.87
26163553800,408,148,36.27
26163554100,1884,110,5.84
26163554200,1668,52,3.12
26163554300,3028,499,16.48
26163554400,1307,27,2.07
26163554500,1311,63,4.81
